Posição;Antecedente;Consequente;Suporte;Confiança;Lift;Leverage;Conviction;Classificação;Justificativa
1;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.17;1.11;0;1.02;INTERESSANTE;"Combina estágio de vida e histórico de crédito com rejeição prévia; o Lift 1,11 indica associação positiva discreta, mas o suporte de 1% pede cautela."
2;FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;FAIXA_IDADE__IDADE_60_OU_MAIS + FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;0.010000;0.07;1.11;0;1.01;ÓBVIA;"É a direção inversa do mesmo itemset da regra 1 e tem confiança de 7%; não acrescenta evidência independente ao padrão."
3;FAIXA_CREDITO__CREDITO_MUITO_ALTO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;0.010000;0.48;1.1;0;1.07;NOVIDADE;"Crédito muito alto e situação familiar separada/viúva/não informada se associam a um a dois créditos ativos (Lift 1,10; confiança 48%). São dimensões diferentes e não há relação construída por fórmula, embora seja uma novidade preliminar pelo suporte de 1%."
4;FAIXA_RENDA__RENDA_ALTA + SITUACAO_FAMILIAR__SOLTEIRO;FAIXA_CREDITO__CREDITO_MEDIO;0.010000;0.27;1.1;0;1.03;INTERESSANTE;Renda alta e situação solteira associam-se a crédito médio, unindo renda, perfil familiar e crédito. O Lift 1,10 é positivo, porém modesto e observado em 1% das transações.
5;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;FAIXA_IDADE__IDADE_60_OU_MAIS;0.010000;0.16;1.1;0;1.02;ÓBVIA;"Reorganiza os mesmos três itens da regra 1; a inversão de antecedente e consequente não constitui uma descoberta adicional."
6;FAIXA_IDADE__IDADE_60_OU_MAIS;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.07;1.1;0;1.01;ÓBVIA;"Outra direção do itemset da regra 1, com confiança de 7%; descreve o mesmo coocorrimento sem novo poder descritivo."
7;FAIXA_CREDITO__CREDITO_MEDIO;FAIXA_RENDA__RENDA_ALTA + SITUACAO_FAMILIAR__SOLTEIRO;0.010000;0.04;1.1;0;1;ÓBVIA;É a direção inversa do itemset da regra 4 e possui confiança de 4%, insuficiente para tratá-la como descoberta separada.
8;FAIXA_CREDITOS_ATIVOS__UM_A_DOIS_CREDITOS_ATIVOS;FAIXA_CREDITO__CREDITO_MUITO_ALTO + SITUACAO_FAMILIAR__SEPARADO_VIUVO_OU_NAO_INFORMADO;0.010000;0.02;1.1;0;1;ÓBVIA;"É a direção inversa da regra 3 e tem confiança de 2%; não amplia a interpretação da novidade preliminar já registrada."
9;FAIXA_IDADE__IDADE_30_A_39 + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;FAIXA_RENDA__RENDA_MUITO_ALTA;0.010000;0.26;1.07;0;1.02;INTERESSANTE;Idade de 30 a 39 anos com rejeição prévia moderada associa-se a renda muito alta. A associação entre trajetória de crédito e renda é plausível, mas o Lift 1,07 e o suporte de 1% são fracos.
10;FAIXA_RENDA__RENDA_MUITO_ALTA;FAIXA_IDADE__IDADE_30_A_39 + FAIXA_TAXA_REJEICAO__REJEICAO_PREVIA_ATE_25_PCT;0.010000;0.04;1.07;0;1;ÓBVIA;"Inverte a regra 9 e apresenta confiança de 4%; é uma reformulação de itemset, não uma evidência nova."
