item;origem_consultada;valor_esperado;valor_encontrado;status;gravidade;acao_recomendada
Requisito: análise com apoio de IA;relatório Markdown e resultados/comparativos;Subseção metodológica com bases, finalidade e limites;Não há subseção explícita;DIVERGENTE;alta;Adicionar subseção factual sobre uso de IA, sem atribuir métricas à IA.
Ordem original da base na amostra;ROW_ID_AMOSTRA;Crescente se a ordem original fosse preservada;False;DIVERGENTE;média;"Esclarecer que a ordem é a ordem aleatória reproduzível da amostragem, rastreada por ROW_ID_AMOSTRA; não reordenar agora."
Nomenclatura 'completa';script 02 e relatório;Nome não ambíguo;"Arquivo 'completa' exclui SK_ID_CURR e TARGET; 'análise' contém todas as colunas";DIVERGENTE;baixa;Explicar explicitamente o significado ou renomear apenas em entrega futura sem quebrar rastreabilidade.
Redação de sete colunas;relatório, apêndice A;sete colunas no total;Relatório diz 'sete atributos e a coluna cluster';DIVERGENTE;média;Corrigir para 'sete colunas no total: seis atributos de entrada e uma coluna cluster'.
Evidência preservada do algoritmo de joelho;repositório;Script, gráfico ou log do algoritmo;"Somente afirmação textual; não há gráfico/script/log";NÃO COMPROVADO;alta;"Gerar gráfico k-distance auditável e descrever o critério de joelho; não alterar epsilon."
Justificativa K=9 SimpleKMeans;configurações + métricas recalculadas;Métricas, equilíbrio, interpretação e comparabilidade;"Texto atual enfatiza DBSCAN/ausência de cotovelo; métricas K=8/K=10 não constam no relatório";DIVERGENTE;alta;"Reforçar escolha com tabela das métricas dos três K e reconhecer trade-off; não afirmar estabilidade sem teste."
EM K=10: prova de log-likelihood -0,29589;config CSV + ARFF K10;Saída textual bruta do WEKA e ausência de erro;"ARFF comprova execução/configuração/10 rótulos; não há log bruto, aviso ou convergência preservados";NÃO COMPROVADO;alta;"Tratar o diagnóstico como valor transcrito não revalidável; pedir log/screenshot aos integrantes ou reexecutar no WEKA."
Diagnósticos brutos do WEKA;configs, ARFFs e resultados MD;Logs de SSE, iterações, tempo e log-likelihood;"Não há arquivos textuais brutos; ARFFs comprovam somente configuração e atribuições";NÃO COMPROVADO;alta;"Preservar logs/s screenshots reais antes da entrega; não inventar."
Documentação do uso de IA;relatório;Bases, finalidade, métricas por scripts, revisão humana, sem invenção;Ausente;DIVERGENTE;alta;Adicionar subseção metodológica curta e verdadeira.
Referências técnicas e de dados;seção 21;WEKA, pacote DBSCAN, base/Trabalho 1, sklearn, p1/p2;['scikit-learn', 'optics_dbScan', 'Trabalho 1', 'p1.py', 'p2.py'];DIVERGENTE;média;"Adicionar referências verificáveis; dados institucionais dependem dos autores/professor."
Redação 'menor dispersão interna';seção 16;Afirmação sustentada por métrica explicitada;Há distância média ao centro e dispersão quadrática no CSV, mas a tabela principal não as mostra;DIVERGENTE;média;Preferir 'melhor resultado relativo nas métricas internas avaliadas'.
Tabela 3: quebra de Limiar;PDF/DOCX atual;Cabeçalho legível sem quebra inadequada;Limiar aparece quebrado visualmente;DIVERGENTE;média;Ajustar larguras/abreviação da tabela.
Precisão epsilon no texto principal;seção 12;"Precisão reduzida no corpo; completa no apêndice";12 casas no corpo e apêndice;DIVERGENTE;baixa;Usar 0,2743 no corpo e manter 0,274264329676 no apêndice.
Figura 11 legível;PDF atual;Rótulos legíveis em impressão A4;Três painéis e rótulos pequenos;DIVERGENTE;média;Aumentar fonte/DPI e simplificar rótulos.
Eixos monetários;figuras exploratórias;R$ ou milhões sem notação científica;Boxplot de AMT_CREDIT usa 1e6;DIVERGENTE;baixa;Formatar eixo em R$ milhões.
CSV e ARFF para cada base final;data/clusterizadas_weka;Ambos os formatos;[('base_clusterizada_dbscan', False, True), ('base_clusterizada_kmeans_final', True, True), ('base_clusterizada_em_final', True, True)];DIVERGENTE;baixa;Gerar CSV final do DBSCAN a partir do ARFF validado, preservando o ARFF original.
